"","sp","mating.system","weights_poly","M_mass","F_mass","overallmol","dnmito","dsmito","dndsmito","sprich","bea12","bea3","mprsds","mprsdn","mplds","mpldn"
"Dromaius","Dromaius","poly",0.25,32700,38300,0.046135,0.0466760370670374,0.195575525943873,0.238659908195429,4,0.00361200787820753,0.930034475968971,0.404386929048111,0.088901979729053,1.05163278775073,0.587425063137052
"Biziura","Biziura","poly",1,2398,1551,0.037119,0.0468354387986734,0.143823466580778,0.325645320003245,1,0.00411433621573844,0.91327268927761,0.802158470732253,0.138585222200918,0.987200887032283,0.971829436248433
"Cairina","Cairina","poly",0.5,3000,1250,0.094324,0.0361487468605843,0.127581081591427,0.283339398049228,2,0.00348548448981746,0.907271806009421,0.721152307300973,0.104959775732051,1.05380389270754,1.16701706037678
"Alectura","Alectura","poly",0.333333333,2450,2210,0.017688,0.0477918001860637,0.121105032698654,0.394631000224278,3,0.00363784329291088,0.824209840365003,0.574064447640136,0.160475543719556,0.73521183535689,0.694094625749277
"Penelopina","Penelopina","poly",0.041666667,890,890,0.070066,0.0687177822681776,0.11553886316148,0.594759030752588,24,0.00390878607783334,0.878713374490516,0.565985266777976,0.220652404480033,0.899525330811843,1.04077908135463
"Threskiornis","Threskiornis","poly",0.117647059,1806.975,1558.1,0.091852,0.0633626705335152,0.163584319810486,0.387339511555395,34,0.00316728778597753,0.871455899098269,0.383133853047722,0.112081998542234,0.923830824114217,0.812780980698334
"Vanellus","Vanellus","poly",0.130434783,136.7,130.65,0.038086,0.0156068271362789,0.153018897337081,0.101992808782951,23,0.00267046665058568,0.825371500998901,0.545940911744156,0.0387334537708753,0.979881506345114,0.33728972394565
"Pedionomus","Pedionomus","poly",1,54,72.4,0.091274,0.0815509517303594,0.192778939358915,0.423028324575063,1,0.00459770448140664,0.943890659366587,1.70789532281761,0.612522166911263,1.05936659453842,0.803473561085354
"Calidris","Calidris","poly",0.75,60.18888889,56.38888889,0.061884,0.0515686055895892,0.133406572233553,0.386552211980298,24,0.00325392897381963,0.874168483194244,1.24628333925854,0.297660335468381,1.02172317716004,0.928006776783371
"Larus","Larus","poly",0.239130435,875.7181818,705.8363636,4e-06,0.0176583937796644,0.085431323362991,0.206696947729995,46,0.00311351714055763,0.854580285700948,0.153115155068509,0.0720732316307773,1.0758247124228,1.16145801890487
